AEA,County,District,School_Name,DistrictCode_SchoolCode,SchoolType,Grades,Year_Academic,Rank
Mississippi Bend AEA,Louisa County,Columbus Community School District,Columbus Community Junior High School,1368-0209,Middle,"07, 08",2014-2015,Priority
Heartland AEA,Carroll County,Coon Rapids-Bayard Community School District,Coon Rapids-Bayard 5-12 Attendance Center,1413-0172,High,"05, 06, 07, 08, 09, 10, 11, 12",2014-2015,Commendable
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,Bloomer Elementary School,1476-0418,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,Franklin Elementary School,1476-0454,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,Rue Elementary School,1476-0553,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Heartland AEA,Dallas County,Dallas Center-Grimes Community School District,North Ridge Elementary,1576-0418,Elementary,"03, 04",2014-2015,High-Performing
Mississippi Bend AEA,Scott County,Davenport Community School District,Williams Intermediate,1611-0227,Middle,"06, 07, 08",2014-2015,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Roosevelt High School,1737-0136,High,"09, 10, 11, 12",2014-2015,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Des Moines Central Campus High School,1737-0185,High,11,2014-2015,Unable to Rate
Heartland AEA,Polk County,Des Moines Independent Community School District,Hoyt Middle School,1737-0250,Middle,"06, 07, 08",2014-2015,Priority
Heartland AEA,Polk County,Des Moines Independent Community School District,King Elementary School,1737-0620,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Moulton Elementary School,1737-0733,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Park Ave Elementary School,1737-0760,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Priority
Heartland AEA,Polk County,Des Moines Independent Community School District,Smouse Opportunity School,1737-0850,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Unable to Rate
Heartland AEA,Polk County,Des Moines Independent Community School District,Studebaker Elementary School,1737-0863,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Downtown School,1737-0935,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Keystone AEA,Dubuque County,Dubuque Community School District,George Washington Middle School,1863-0218,Middle,"06, 07, 08",2014-2015,Acceptable
Keystone AEA,Dubuque County,Dubuque Community School District,Bryant Elementary School,1863-0427,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Keystone AEA,Dubuque County,Dubuque Community School District,Eisenhower Elementary School,1863-0436,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Green Hills AEA,Harrison County,Boyer Valley Community School District,Boyer Valley Middle/High School,1917-0172,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Commendable
Prairie Lakes AEA,Wright County,Eagle Grove Community School District,Eagle Grove High School,1944-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Keystone AEA,Allamakee County,Eastern Allamakee Community School District,New Albin Elementary School,1972-0418,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Green Hills AEA,Freemont County,Farragut Community School District,Nishnabotna High School,2205-0172,High,"09, 10, 11, 12",2014-2015,Commendable
AEA 267,Winnebago County,Forest City Community School District,Forest City High School,2295-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Prairie Lakes AEA,Webster County,Fort Dodge Community School District,Duncombe Elementary School,2313-0454,Elementary,"KG,  01, 02, 03, 04",2014-2015,Acceptable
Prairie Lakes AEA,Webster County,Fort Dodge Community School District,Riverside ELC,2313-0509,Elementary,"KG,  01",2014-2015,Unable to Rate
Great Prairie AEA,Lee County,Fort Madison Community School District,Richardson Elementary School,2322-0445,Elementary,"KG,  01, 02, 03",2014-2015,Needs Improvement
Heartland AEA,Story County,Gilbert Community School District,Gilbert Intermediate School,2466-0418,Elementary,"03, 04, 05",2014-2015,Unable to Rate
AEA 267,Poweshiek County,Grinnell-Newburg Community School District,Bailey Park Elementary School,2709-0409,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
Heartland AEA,Guthrie County,Guthrie Center Community School District,Guthrie Center High School,2754-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Green Hills AEA,Shelby County,Harlan Community School District,Harlan Community High School,2826-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Prairie Lakes AEA,Dickinson County,Harris-Lake Park Community School District,Harris-Lake Park Elementary School,2846-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Northwest AEA,Plymouth County,Hinton Community School District,Hinton Elementary School,2988-0409,Elementary,"KG,  01, 02, 03",2014-2015,Unable to Rate
Keystone AEA,Howard County,Howard-Winneshiek Community School District,Crestwood High School,3029-0109,High,"09, 10, 11, 12",2014-2015,High-Performing
Grant Wood AEA,Johnson County,Iowa City Community School District,Northwest Junior High School,3141-0213,Middle,"07, 08",2014-2015,Commendable
Grant Wood AEA,Johnson County,Iowa City Community School District,Kirkwood Elementary School,3141-0406,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Priority
AEA 267,Bremer County,Janesville Consolidated School District,Janesville Junior-Senior High School,3186-0109,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Acceptable
Prairie Lakes AEA,Greene County,Greene County Community School District,Greene County Elementary,3195-0412,Elementary,"KG,  01, 02, 03",2014-2015,Acceptable
Heartland AEA,Polk County,Johnston Community School District,Summit Middle School,3231-0209,Middle,"06, 07, 08",2014-2015,Exceptional
Heartland AEA,Polk County,Johnston Community School District,Timber Ridge Elementary,3231-0435,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Great Prairie AEA,Lee County,Keokuk Community School District,Keokuk Middle School,3312-0209,Middle,"06, 07, 08",2014-2015,Needs Improvement
AEA 267,Winnebago County,Lake Mills Community School District,Lake Mills Senior High School,3420-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Green Hills AEA,Decatur County,Lamoni Community School District,Lamoni Middle School,3465-0250,Middle,"06, 07, 08",2014-2015,Acceptable
Northwest AEA,Plymouth County,Le Mars Community School District,Franklin Elementary School,3600-0427,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,High-Performing
Grant Wood AEA,Linn County,Linn-Mar Community School District,Wilkins Elementary School,3715-0427,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Grant Wood AEA,Linn County,Linn-Mar Community School District,Bowman Woods Elementary School,3715-0436,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Grant Wood AEA,Johnson County,Lone Tree Community School District,Lone Tree Junior-Senior High School,3816-0172,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Acceptable
Heartland AEA,Jasper County,Lynnville-Sully Community School District,Lynnville-Sully High School,3906-0109,High,"09, 10, 11, 12",2014-2015,Exceptional
Heartland AEA,Jasper County,Lynnville-Sully Community School District,Lynnville-Sully Elementary School,3906-0412,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Heartland AEA,Boone County,Madrid Community School District,Madrid Junior High School,3942-0209,Middle,"07, 08",2014-2015,Commendable
Keystone AEA,Delaware County,Maquoketa Valley Community School District,Maquoketa Valley Senior High School,4043-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Northwest AEA,Cherokee County,Marcus-Meriden-Cleghorn Community School District,Marcus-Meriden-Cleghorn East Elementary,4068-0172,Elementary,"04, 05, 06",2014-2015,High-Performing
AEA 267,Marshall County,Marshalltown Community School District,Marshalltown High School,4104-0109,High,"09, 10, 11, 12",2014-2015,Needs Improvement
AEA 267,Cerro Gordo County,Mason City Community School District,Jefferson Elementary School,4131-0445,Elementary,"KG,  01, 02, 03, 04",2014-2015,Commendable
Grant Wood AEA,Jones County,Midland Community School District,Midland Middle/High  School,4269-0118,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Acceptable
Keystone AEA,Clayton County,MFL MarMac Community School District,MFL MarMac Elementary School,4419-0427,Elementary,"KG,  01, 02, 03",2014-2015,Commendable
Grant Wood AEA,Jones County,Monticello Community School District,Shannon Elementary School,4446-0418,Elementary,"KG,  01",2014-2015,Unable to Rate
Great Prairie AEA,Appanoose County,Moulton-Udell Community School District,Moulton Elementary School,4518-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Needs Improvement
Green Hills AEA,Ringgold County,Mount Ayr Community School District,Mount Ayr Elementary,4527-0436,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Great Prairie AEA,Henry County,Mount Pleasant Community School District,Lincoln Elementary School,4536-0418,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Great Prairie AEA,Henry County,Mount Pleasant Community School District,Salem Elementary School,4536-0436,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Green Hills AEA,Clarke County,Murray Community School District,Murray Elementary School,4572-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
Mississippi Bend AEA,Muscatine County,Muscatine Community School District,Colorado Elementary School,4581-0402,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Mississippi Bend AEA,Muscatine County,Muscatine Community School District,Grant Elementary School,4581-0418,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Keystone AEA,Chickasaw County,New Hampton Community School District,New Hampton Elementary School,4662-0418,Elementary,"KG,  01, 02, 03, 04",2014-2015,Commendable
Heartland AEA,Jasper County,Newton Community School District,Newton Senior High  School,4725-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
AEA 267,Worth County,Central Springs Community School District,Central Springs Middle School,4772-0209,Middle,"05, 06, 07, 08",2014-2015,Commendable
AEA 267,Worth County,Central Springs Community School District,Central Springs Elem. Manly Campus,4772-0409,Elementary,"KG,  01, 02, 03, 04",2014-2015,Exceptional
Mississippi Bend AEA,Clinton County,Northeast Community School District,Northeast Middle-High School,4773-0172,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,High-Performing
Great Prairie AEA,Mahaska County,North Mahaska Community School District,North Mahaska Elementary School,4776-0427,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Grant Wood AEA,Linn County,North Linn Community School District,North Linn Elementary,4777-0427,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Prairie Lakes AEA,Kossuth County,North Kossuth Community School District,North Union Middle School,4778-0209,Middle,"06, 07, 08",2014-2015,Unable to Rate
Heartland AEA,Polk County,North Polk Community School District,North Polk High School,4779-0172,High,"09, 10, 11, 12",2014-2015,High-Performing
Mississippi Bend AEA,Scott County,North Scott Community School District,North Scott Junior High School,4784-0209,Middle,"06, 07, 08",2014-2015,Commendable
Mississippi Bend AEA,Scott County,North Scott Community School District,Alan Shepard Elementary School,4784-0427,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,High-Performing
Prairie Lakes AEA,Sac County,Odebolt-Arthur Community School District,OA-BCIG Middle School,4860-0209,Middle,"06, 07, 08, 12",2014-2015,Acceptable
Keystone AEA,Fayette County,Oelwein Community School District,Oelwein Middle School,4869-0209,Middle,"06, 07, 08",2014-2015,Acceptable
Heartland AEA,Boone County,Ogden Community School District,Howe Elementary School,4878-0409,Elementary,"KG,  01, 02, 03, 04",2014-2015,High-Performing
Prairie Lakes AEA,Dickinson County,Okoboji Community School District,Okoboji High School,4890-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Great Prairie AEA,Mahaska County,Oskaloosa Community School District,Oskaloosa Elementary School,5013-0472,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Heartland AEA,Marion County,Pleasantville Community School District,Pleasantville Elementary,5256-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Northwest AEA,Plymouth County,Remsen-Union Community School District,Remsen-Union Middle  School,5486-0209,Middle,"06, 07, 08",2014-2015,Unable to Rate
Green Hills AEA,Pottawattamie County,Riverside Community School District,Riverside Elementary,5510-0418,Elementary,"KG,  01, 02, 03",2014-2015,Unable to Rate
AEA 267,Floyd County,Rudd-Rockford-Marble Rock Community School District,Rockford Junior-Senior Rockford Senior High,5697-0109,High,"07, 08, 09, 10, 11, 12",2014-2015,Acceptable
AEA 267,Mitchell County,St Ansgar Community School District,St. Ansgar Middle School,5751-0209,Middle,"06, 07, 08",2014-2015,Commendable
Great Prairie AEA,Wayne County,Seymour Community School District,Seymour Elementary School,5895-0427,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
Northwest AEA,O'Brien County,Sheldon Community School District,Sheldon High School,5949-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Green Hills AEA,Page County,Shenandoah Community School District,Shenandoah High School,5976-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Northwest AEA,Osceola County,Sibley-Ocheyedan Community School District,Sibley Ocheyedan Elementary School,5994-0418,Elementary,"KG,  01, 02, 03, 04",2014-2015,Acceptable
Northwest AEA,Woodbury County,Sioux City Community School District,East High School,6039-0118,High,"09, 10, 11, 12",2014-2015,Acceptable
Prairie Lakes AEA,Calhoun County,South Central Calhoun Community School District,South Central Calhoun Elementary Building,6091-0427,Elementary,"KG,  01, 02, 03",2014-2015,Unable to Rate
Heartland AEA,Warren County,Southeast Warren Community School District,Southeast Warren Intermediate,6094-0409,Elementary,"04, 05, 06",2014-2015,Needs Improvement
Prairie Lakes AEA,Hamilton County,South Hamilton Community School District,South Hamilton Middle And High School,6095-0109,High,"07, 08, 09, 10, 11, 12",2014-2015,High-Performing
Northwest AEA,O'Brien County,South O'Brien Community School District,South O'Brien Secondary School,6099-0109,High,"07, 08, 09, 10, 11, 12",2014-2015,Commendable
Grant Wood AEA,Linn County,Springville Community School District,Springville Secondary School,6138-0172,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Commendable
Keystone AEA,Fayette County,Starmont Community School District,Starmont High School,6175-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
